country,gold,bronze,rank
United States,39,33,1
China,38,18,2
Japan,27,17,3
Great Britain,22,22,4
ROC,20,23,5
Australia,17,22,6
Netherlands,10,14,7
France,10,11,8
Germany,10,16,9
Italy,10,20,10
Canada,7,11,11
Brazil,7,8,12
New Zealand,7,7,13
Cuba,7,5,14
Hungary,6,7,15
South Korea,6,10,16
Poland,4,5,17
Czech Republic,4,3,18
Kenya,4,2,19
Norway,4,2,20
Jamaica,4,4,21
Spain,3,6,22
Sweden,3,0,23
Switzerland,3,6,24
Denmark,3,4,25
Croatia,3,2,26
Iran,3,2,27
Serbia,3,5,28
Belgium,3,3,29
Bulgaria,3,2,30
Slovenia,3,1,31
Uzbekistan,3,2,32
Georgia,2,1,33
Chinese Taipei,2,6,34
Turkey,2,9,35
Greece,2,1,36
Uganda,2,1,36
Ecuador,2,0,38
Ireland,2,2,39
Israel,2,2,39
Qatar,2,1,41
Bahamas,2,0,42
Kosovo,2,0,42
Ukraine,1,12,44
Belarus,1,3,45
Romania,1,0,46
Venezuela,1,0,46
India,1,4,48
Hong Kong,1,3,49
Philippines,1,1,50
Slovakia,1,1,50
South Africa,1,0,52
Austria,1,5,53
Egypt,1,4,54
Indonesia,1,3,55
Ethiopia,1,2,56
Portugal,1,2,56
Tunisia,1,0,58
Estonia,1,1,59
Fiji,1,1,59
Latvia,1,1,59
Thailand,1,1,59
Bermuda,1,0,63
Morocco,1,0,63
Puerto Rico,1,0,63
Colombia,0,1,66
Azerbaijan,0,4,67
Dominican Republic,0,2,68
Armenia,0,2,69
Kyrgyzstan,0,1,70
Mongolia,0,3,71
Argentina,0,2,72
San Marino,0,2,72
Jordan,0,1,74
Malaysia,0,1,74
Nigeria,0,1,74
Bahrain,0,0,77
Saudi Arabia,0,0,77
Lithuania,0,0,77
North Macedonia,0,0,77
Namibia,0,0,77
Turkmenistan,0,0,77
Kazakhstan,0,8,83
Mexico,0,4,84
Finland,0,2,85
Botswana,0,1,86
Burkina Faso,0,1,86
Côte d'Ivoire,0,1,86
Ghana,0,1,86
Grenada,0,1,86
Kuwait,0,1,86
Moldova,0,1,86
Syria,0,1,86
